Supplemental Table S3.  Species-level OTU table generated by MetaPhlAn2 analysis. Sample numbers in red correspond to the caries group and sample numbers in black correspond to the healthy group.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Granulicatella_elegans ,7169.78,0,32752.1,437.417,3712.86,27881.2,1949.59,240.034,0,214.903,3534.36,1547,3897.32,2642.53,12187.2,22521,6404.46,23650.5,15392.1,2340.84,2317.43,57452.7,3571.41,14354.6,22349.7,20534.4,7016.92,49428,4041.15,6330.86,1735.04,3849.48,2328.66,2589.37,4802.65,0,0,5443.99,9473.82,919.52,6581.02,4384.04,135004,0,17511.3,15911.9,4511.43
Granulicatella_unclassified ,2826.62,5390.69,6615.18,1980.54,5291.41,3967.69,6431.54,4341.93,2051.92,8352.95,2837.8,6634.99,2078.19,3836.68,3197.27,2934.32,3611.36,0,9886.81,287.416,11498.9,0,5395.64,6616.67,0,10433.5,1488.26,28268.9,0,14451.2,17049.8,12583,1683.67,24760.2,2585.9,26709.8,57162.7,21431.5,5257.2,27859.2,4782.57,882.743,50293,26295.4,7058.37,5101.45,34833.6
Haemophilus_haemolyticus ,359.625,1081,1193.73,0,2846.15,1506.08,0,136.531,0,36.6971,194.693,199.254,0,0,3500.65,645.026,476.423,2184.43,857.872,933.264,893.301,8530.8,555.852,1303,475.559,1024.32,1491.31,3039.44,234.862,1065.66,142.389,1843.56,552.851,759.055,3585.87,0,3009.07,3285.93,4057.81,3009.38,494.776,858.098,7803.98,0,1986.47,2867.97,3593.33
Haemophilus_influenzae ,135.114,683.102,1570.24,453.79,1904.4,1073.4,0,0,0,0,0,0,0,10503.8,1802.71,663.542,389.885,960.499,583.6,707.765,10193.4,5282.42,22794.6,699.468,0,1251.99,4137.28,6191.89,0,3071.56,0,2686.45,199.544,523.271,3813.04,0,2288.51,5866.2,21011.7,4958.72,0,661.726,6336.63,1067.71,1522.47,3077.03,3193.75
Haemophilus_parahaemolyticus ,0,1413.07,0,0,0,0,0,0,0,1313.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1102.25,0,0,0,0,0,0,0,0,0,0,2660.37,0,6199.6,0,0,43.0716,0,0,0,0
Haemophilus_parainfluenzae ,26252.3,6138.45,24481.9,6554.96,54668.6,40192.3,11756.6,54416.4,6615.13,69444.7,133036,51050,17598.6,23622,48305.4,34905.5,31943.5,23531.6,34152.1,11715,207259,155294,22442.7,25818.7,54738.5,59052.4,85668.9,95314.4,25844.4,70769.4,131424,52525,29062.9,26116.1,90324.5,302585,603368,320252,57184.6,745267,22880.1,31620.5,604780,104058,464424,89046.8,771551
Haemophilus_paraphrohaemolyticus ,0,237.174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.333,0,81.1009,0,2226.39,164.818,0,126.305,8260.57,0,0,0,0,0,0,1778.29,0,40.4052,378.281,2327.68,1479.5,0,0,7760.91,0,0,1294.79,204.417
Haemophilus_pittmaniae ,0,0,0,339.277,12776.9,0,0,0,0,0,4441.91,0,0,0,0,0,0,960.499,0,0,0,0,0,0,0,72.897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haemophilus_sputorum ,2408.9,0,1500.95,0,1395.37,2568.76,0,2711.89,0,520.096,0,90.3449,1671.18,0,5450.55,3929.53,266.699,0,4458.63,332.905,8312.79,0,0,2118.32,1807.26,4103.33,6171.51,823.661,882.694,0,2962.63,0,1169.84,204.11,3287.32,0,13388.7,21252.5,1344.54,757.782,208.754,0,32878.2,3657.81,32118.4,4309.81,4476.53
Human_herpesvirus_4 ,14550.2,0,10530.6,49505.8,1391.24,185.358,0,0,364.678,0,0,301.562,0,0,0,0,1252.5,0,62.6001,3242.22,0,65.1704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14500.2,0,0,0,0,0,0,0
Human_herpesvirus_6B ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4342.93,0,0,0,0
Human_herpesvirus_7 ,11822.5,3796.78,4468.97,129180,0,0,4353.76,13622.4,3116.07,29140.9,19346.8,0,3772.94,13213.7,8817.93,0,3705.6,0,13814.3,4272.21,21879,14031.2,0,6129.22,0,24967.1,2686.04,11974.7,3092.08,38943.2,38196,17798.4,0,14716.8,0,0,0,24142,3012.62,16090,5815.15,0,0,8743.22,49723.5,1985.69,0
Johnsonella_ignava ,0,0,396.381,0,0,876.789,0,0,0,0,0,0,0,0,0,181.131,0,0,0,0,0,0,0,1603.4,0,859.516,0,0,573.604,2368.22,438.886,0,0,0,0,0,0,983.427,0,0,0,0,0,0,0,0,1100.43
Kingella_denitrificans ,0,0,2196.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,903.278,0,0,467.778,0,0,0,0,4478.83,4016.04,0,2744.47,0,0,0,0,42.3967,0,0,0,0,747.706,0,2708.65,2011.22,0,0,1304.06,0
Kingella_kingae ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.8915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kingella_oralis ,0,56.3435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.5921,0,0,220.131,0,0,0,0,0,0,0,0,0,0,0,270.584,0,788.719,163.304,0,0,2840.75,0,0,0,0,5726.13,0,711.543
Kingella_unclassified ,0,161.717,0,0,0,0,210.408,0,0,0,220.754,0,0,0,0,225.81,0,0,0,0,2122.61,0,0,481.5,869.131,367.409,0,492.293,0,0,0,0,0,0,556.481,0,276.102,0,0,1995.47,0,0,0,0,0,0,1746.45
Lachnoanaerobaculum_saburreum ,0,260.942,972.866,0,0,29.8215,441.733,92.0606,0,0,0,0,0,0,0,0,0,0,549.545,0,91.7219,726.288,148.4,1168.83,0,0,0,351.945,0,1885.52,2248.93,0,231.61,0,0,466.223,438.284,0,321.57,483.092,0,497.421,0,0,422.23,452.084,121.796
Lachnospiraceae_bacterium_ICM7 ,2505.14,0,1894.02,0,4803.48,1215.54,475.904,726.602,0,3675.26,28751.5,0,0,0,2657.75,766.585,423.761,0,3096.45,0,2828.98,290.37,219.238,1584.16,3567.11,2733.95,2353.97,555.864,1921.31,5582.62,1652.42,2797.07,1386.19,209.223,2895.2,11085.7,10061.5,1683.4,1859.15,9381.33,698.601,0,34282.8,1803.96,4694.01,4273.61,27456
Lachnospiraceae_bacterium_oral_taxon_082 ,30.721,708.864,245.063,0,0,0,0,62.1539,0,0,0,0,688.381,0,0,0,0,0,389.122,0,689.191,1252.72,1300.95,0,90.422,58.9024,117.512,2034.28,148.261,936.759,3080.99,0,182.545,0,0,611.473,3772.27,0,322.887,0,0,880.358,120.454,0,1978.76,931.388,1381.78
Lachnospiraceae_oral_taxon_107 ,358.606,0,2242.51,0,0,765.538,462.443,0,0,1551.05,0,0,0,0,555.205,400.5,0,0,30.3819,0,0,215.062,0,1421.37,305.343,1074.03,333.431,214.975,0,1396.24,61.5261,0,215.384,362.909,0,551.291,393.39,1396.85,0,1619.5,0,0,585.481,0,512.845,613.723,372.51
Lactobacillus_fermentum ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370.817,0,0
Lactobacillus_gasseri ,0,0,0,0,3037.6,0,0,0,0,0,0,0,0,0,0,0,2191.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309.53,0,0,2019.25,0,0
Lactobacillus_phage_Lc_Nu ,0,0,0,0,488.556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus_rhamnosus ,0,0,0,0,516.881,0,0,0,0,0,0,0,0,0,0,0,174.463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.4742,0,0
Lautropia_mirabilis ,919.3,14503.4,501.335,0,1865.53,1413.75,1225.17,0,0,1797.63,3312.08,264.228,0,205.175,1248.05,4162.58,0,0,14351.8,884.861,2437.25,5254.9,1304.83,910.11,10819.3,2141.38,2172.88,10105.1,405.116,16827.6,3037.63,0,311.389,412.339,11231.4,21042,20154.9,80819,4810.72,54718.3,0,2426.15,35923.9,17112.8,114731,40175.4,28174
Leptotrichia_buccalis ,560.84,0,3766.89,0,97.3803,360.537,602.646,0,0,0,0,0,0,0,347.446,0,0,0,304.153,0,1516.55,464.882,0,941.019,313.946,744.427,222.682,0,443.998,191.997,4529.49,0,375.135,32.6689,0,0,0,889.374,2036.39,211.055,0,250.698,260.619,0,0,585.099,67.6643
Leptotrichia_goodfellowii ,0,32.0775,189.784,0,1565.74,1462.5,0,0,435.804,0,0,0,0,0,0,3835.34,578.514,0,0,0,0,1785.67,499.75,3730.42,1821.43,0,735.678,375.899,32.9906,3161.37,8581.43,0,65.2913,0,245.408,255.965,708.213,1923.19,468.861,4714.79,0,312.975,0,0,3134.91,2618.21,1346.16
Leptotrichia_hofstadii ,0,0,4266.96,0,0,0,0,0,0,0,0,0,0,0,0,104.251,0,0,309.996,0,0,2177.41,0,1894.17,51.7902,2574.37,414.083,0,52.2351,722.311,1051.22,0,0,1522.51,0,861.09,106.064,214.721,0,465.063,0,104.678,151.845,0,303.98,1372.53,155.984
Leptotrichia_shahii ,76.7297,0,840.144,155.591,0,441.073,561.641,0,0,0,81.0581,0,155.101,0,0,0,0,0,0,0,412.168,734.977,0,611.09,0,510.279,880.413,0,359.754,593.797,734.212,0,0,0,0,0,0,0,155.025,0,0,486.556,0,0,666.442,609.233,767.099
Leptotrichia_sp_oral_taxon_215 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83720.2,0,0,0,0
Leptotrichia_unclassified ,3538.88,1413.57,12116.1,1934.42,0,2709.83,1315.26,1588.95,186.232,3109.49,3467.68,1794.52,761.407,2259.34,3389.75,107.873,777.46,89.9368,6634.11,1459.25,6411.01,6315.73,2926.63,2127.48,3229.04,8359.76,7444.2,4599.54,3305.15,4395.8,0,2841.16,3349.75,5016.1,2148.72,4814.33,2740.82,5334.95,4743.57,2214.48,1461.28,5189.4,0,803.731,5510.19,6160.52,7641.08
Leptotrichia_wadei ,1745.56,1294.4,1675.45,1245.4,332.458,1333.22,3243.73,0,0,75.7703,0,1080.43,1374.24,0,442.527,1318.63,0,0,511.151,443.755,3399.05,3086.9,220.531,891.335,1303.19,545.996,3193.46,34.0889,3230.52,2615.96,11642.5,2107.62,830.822,338.194,0,1162.26,0,0,3917.1,261.432,647.844,2247.01,0,73.9439,2953.04,12617.7,6628.96
Lymphocryptovirus_unclassified ,1448.98,0,0,0,326.048,0,0,0,0,0,0,0,0,0,0,0,506.604,0,0,0,0,130.341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Megasphaera_micronuciformis ,5323.76,54687.6,7473.92,34040.6,3053.73,10867,36552.9,28409.5,37827.8,0,256.013,17678.3,51278.8,4760.85,5275.81,11143,8704.35,14321.3,22822.7,11420.1,38742.2,127639,61796.8,4897.19,6675.2,11441.9,27127.9,38639.3,10634.4,42345,120609,33987.2,5890.71,2418.78,0,5809.76,93175.5,898.159,62019.1,3701.41,12396,66124.7,0,3790.01,152504,58291.3,53415.6
Mitsuokella_unclassified ,0,1257.51,0,515.6,0,0,0,0,0,0,0,630.145,0,0,0,0,0,0,624.999,0,0,0,0,0,0,0,0,0,0,1242.95,0,0,0,0,0,0,0,0,1887.13,0,0,0,0,0,0,1259.44,0
Moraxella_catarrhalis ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3856.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Murine_osteosarcoma_virus ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,962.499,0,0,0,0,0,0,0,0,0,0,0,0,0,970.982,0,0,0,0,0,0,0,0,0,0,0,971.517
Mycoplasma_orale ,3871.43,0,0,525.191,0,476.609,0,0,0,0,0,0,0,0,0,0,2248.31,0,0,0,0,0,0,0,410.61,0,6996.46,0,0,947.597,0,0,3567.26,0,0,0,0,0,0,0,736.568,0,0,73.7715,0,0,780.632
Neisseria_bacilliformis ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,885.59,0,0
Neisseria_cinerea ,0,0,0,0,0,925.182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,658.221,0,0,0,0,443.842,2091.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1095.77,0,0,0,0
Neisseria_elongata ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,696.802,0,0,0,0,0,0,0,0,0,823.751,0,2601.33,3538.49,0,410.703,3353.47,0,0,0,0,789.227,0,1581.08,0,7862.58,0,1141.13,2812.79,6602.72,15094.2,834.573,3731.51
Neisseria_flavescens ,2371.63,0,7466.03,0,7273.13,341.787,0,1293.53,0,31315.6,1626.34,3817.18,5653.73,444.841,6225.66,3536.68,303.193,0,2782.12,0,35918.3,3283.14,0,337.714,5990.46,5471.87,14919.5,0,752.303,4748.05,2397.76,0,5406.43,8531.7,26927.3,11295.2,18824.3,39156.5,9212.81,76675.9,1534.15,0,16647.5,24292.7,47551.9,15033.3,9792.09
Neisseria_gonorrhoeae ,748.369,0,0,0,0,0,0,0,0,0,0,0,0,0,761.326,496.499,0,0,237.88,0,0,1264.31,0,274.292,354.771,163.131,736.862,1241.63,0,418.445,1160.79,0,146.036,0,0,0,0,571.297,0,0,235.531,0,0,0,0,0,0
Neisseria_lactamica ,0,0,0,0,0,0,0,0,0,0,0,194.922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334.783,558.628,0,0,0,0,0,275.697,0,0,0,0,224.145,0,0,0,533.649,0,0,0,0
Neisseria_macacae ,346.667,0,543.623,47.7623,2629.27,61.7859,0,0,0,0,0,0,0,517.773,125.91,0,0,0,1688.53,0,437.711,233.165,0,1422.75,838.765,657.326,3022.35,6580.69,0,1592.49,1248.1,0,0,792.008,752.985,94.7174,0,1373.34,0,0,0,589.114,8668.33,2082.93,0,1420.51,0
Neisseria_meningitidis ,488.624,298.005,319.703,81.7675,408.543,1645.18,0,0,0,90.5547,462.97,1585.57,966.385,83.4078,975.359,983.338,648.114,0,782.084,436.336,1181.24,1247.65,54.034,1992.4,1819.24,514.248,2669.81,2885.58,355.631,224.125,5676.22,0,378.419,603.523,0,1006.59,0,119.892,814.129,476.729,1358.97,0,1181.18,101.608,377.243,2954.12,401
Neisseria_polysaccharea ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neisseria_sicca ,1216.32,285.872,1695.83,621.878,3920.85,1691.26,0,0,652.759,685.365,0,1701.29,0,5037.67,1823.31,1458.71,0,747.421,12801,266.13,1393.24,6157.15,0,970.097,12434.5,3255.51,6148.01,6951.37,5605.06,15699.6,13681.7,0,383.828,6958.62,5766.93,0,545.47,12300.3,14770,67495.1,1345.11,15645.8,8722.36,726.512,2152.92,10562.1,11067
Neisseria_sp_oral_taxon_014 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27914
Neisseria_subflava ,1321.15,0,0,0,544.172,0,0,0,0,7742.56,350.102,52.1855,154.049,0,395.873,0,0,0,616.82,0,1140.14,0,0,311.384,2878.32,1679.35,1845.54,0,937.482,0,3028.84,0,114.936,2980.12,1596.38,1104.11,11997,6937.73,3324.32,6632.31,445.351,0,365.013,1058.05,7438.82,11447.5,7039.93
Neisseria_unclassified ,14872,5773.46,32406.4,5719.75,9041.28,4739.3,2946.75,2787.56,4565.53,0,4286.11,5603.86,1524.5,14443,5891.44,5927,4653.06,3900.27,59398.1,5813.69,13034.5,29843.7,5176.4,11880.2,26089.4,41937.3,41147.4,31110.6,15209.8,32709.5,38753.8,1064.64,11283.2,59764,114053,12901.9,38259.2,137463,19917.9,253571,8631.93,12728.6,133344,102071,0,194631,314093
Olsenella_uli ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.4188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oribacterium_sinus ,5413.3,1668.2,7024.3,17170.5,3132.92,876.789,12115.7,8819.61,2074.44,9830.6,10718.1,1602.69,3027.95,8852.75,3656.71,3711.77,6695.33,4340.5,27854,979.283,48633.7,33161.6,18755.7,3378.74,25854.8,7243.75,4121.22,11020.5,11812.4,12458.9,3844.5,4416.08,3686.83,6780.08,6122.28,14863.3,70286.5,21269,17916.9,25823.4,3946.08,4623.6,119001,3856.03,126595,41998.1,53818
Oribacterium_sp_ACB1 ,0,0,0,0,0,0,0,0,0,0,66406.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46618.8,0,0,0,0
Oribacterium_sp_ACB8 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19918,0,0,0,0,0,0,9306.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oribacterium_sp_oral_taxon_078 ,0,0,268.754,0,271.673,155.893,26.5081,0,0,353.771,0,0,0,0,249.092,0,0,0,1408.59,0,76.3962,0,0,178.588,0,99.424,0,0,0,2484.73,498.655,0,0,130.108,0,0,576.897,2191.14,0,1575.49,0,0,2817.9,0,77.7622,1735.09,1631.78
Parascardovia_denticolens ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0213,0,0,0,0,1201.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449.719,0,0,0,0,0
Parvimonas_micra ,11597.1,1106.59,1730.47,664.409,1313.91,1778.04,63.5781,0,62.4982,1360.7,3938.89,0,61.6618,1392.55,418.518,0,3397.33,446.166,119.858,147.683,4667.13,10152.1,4527.74,0,136.983,556.022,0,186.107,745.823,4441.09,1131.49,580.365,3429.34,0,242.154,31.7418,699.796,567.938,0,3638.31,1508.04,1538.11,34041.1,594.998,0,0,3735.78
Parvimonas_sp_oral_taxon_110 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103669,0,0,0,0,0,0,0,18673.5,0,0,0,0,0,0,0,0,0,0,23700,0,0,0,0,0
Parvimonas_unclassified ,54263.3,8303.6,32375.4,2191.35,20264.8,10710.6,1470.79,393.468,1220.5,37424.5,2538.29,27.021,2208.25,2661.39,14014.9,0,26084.9,4424.94,2699.98,1906.45,15504.9,85392.7,0,0,10090.8,9499.38,640.485,5161.55,7924.02,37411.5,3335.89,1184.94,12774.9,4405.9,6174.53,1264.59,1900.73,7409.03,0,13326.7,18593.1,0,74389.7,3599.9,0,0,25246.6
Peptostreptococcus_stomatis ,8032.59,2831.63,8026.21,535.848,8475.81,4932.87,3435.5,408.291,2016.78,4161.03,12468.2,4229.71,861.16,0,5767.31,1855.38,2153.76,1310.57,1673.18,287.946,520.144,0,6725.03,16973.8,3128.16,1898.25,2814.89,2190.59,3891.32,37931.8,12539.6,3230.11,8417.75,0,44.27,1470.53,3716.16,1129.42,1850.59,6080.81,6874.51,44.5214,45275.5,911.889,1071.32,0,308.407
Peptostreptococcus_unclassified ,19219.3,0,15885.8,0,15802.1,7643.42,724.832,37.9685,6615.13,6298.17,18744,8928.68,2929.46,0,6710.61,7411.87,4765.93,4090.04,5775.74,394.999,1380.7,0,10500.9,22229.8,6508.69,3812.58,5628.59,3148.15,10086.5,0,24196.8,8457.73,9041.11,94.0297,1451.05,4555.07,4556.25,2877.42,5720.13,4924.26,16738.8,53.5317,99204.7,1687.44,2384.92,0,87.6074
Porphyromonas_catoniae ,1468.2,0,14289.6,1542.05,4177.84,3376.08,764.594,896.68,287.871,6222.93,1596.63,1970.26,0,149.57,4338.37,2864.28,1180.13,4598.21,2052.11,383.075,0,25727.8,4837.2,7083.52,2651.42,9478.7,12405.9,5194.1,527.457,6380.41,18763.1,914.77,4835.23,2217.51,2436.72,1163.27,1895.12,7663.29,25.0147,9986.39,2782.15,1007.3,56788.8,669.804,0,0,28588.5
Porphyromonas_endodontalis ,4529.38,6303.65,6877.82,1466.2,443.277,6633.95,0,409.592,641.606,0,0,0,0,1529.06,0,0,0,0,0,830.363,8531.06,16492.4,0,0,1892.45,12123.5,0,0,0,0,0,0,3877.88,418.446,0,0,0,0,0,0,0,0,0,7089.31,0,0,10146.8
Porphyromonas_gingivalis ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1561.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Porphyromonas_sp_oral_taxon_279 ,211797,0,156261,7380.68,90930.9,31473.5,29204.7,18931.4,0,241975,95308,45139.7,25175.5,0,135798,139682,78968.8,71058.2,75509.1,0,93617.9,32260.8,0,525634,143749,72660.1,89767.3,38501.7,49005.7,44929.6,22048,28161.6,79076.5,0,132571,195228,128748,234570,8667.26,399275,176272,16631.4,1.62E+06,34742.7,17838.4,95343.9,1.66E+06
Prevotella_buccae ,24.1691,0,247.101,0,1329,2779.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,987.693,0,0,0,0,0,0,0,2825.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prevotella_denticola ,4305.45,94.7368,0,0,11361.9,5293.77,0,2219.34,5153.68,18909.3,502.637,6672.12,610.515,1013.38,6843.48,0,1850.11,4420.32,17550.7,6324.31,0,16391.8,8897.77,0,5114.41,0,0,0,0,0,58388.9,532.957,0,0,0,0,0,0,0,0,0,0,0,0,540.48,0,1044.17
Prevotella_histicola ,11310.7,419016,11337.1,22537,88056.6,273756,238975,632256,795920,25599.5,39698.3,30353.2,1.01E+06,124080,28551,137666,71463.8,614071,88119.2,233629,109268,3.24E+06,538977,71128.5,29689.3,30831,15304.2,227834,356673,278204,954516,415411,0,0,9198.79,134048,424550,31861.1,143233,16821.8,29838.3,1.05E+06,0,9280.56,615686,233226,34556.5
Prevotella_intermedia ,0,19328.8,3277.53,2309.83,0,1514.29,102.719,0,0,0,0,0,0,0,0,0,1175.04,0,0,0,0,3669.82,0,0,0,0,0,1849.71,0,14416.4,0,0,8096.7,0,0,0,0,0,0,0,2283.24,0,98.5536,3976.85,0,0,19121.2
Prevotella_loescheii ,1474.61,0,142.656,0,1495.44,657.324,1496.47,0,0,6115.75,90.6394,285.061,0,0,1338.08,0,0,0,150.24,0,2588.88,807.388,0,604.45,691.154,5438.87,1566.55,666.73,0,3562.78,1842.27,0,402.565,427.111,0,0,1039.31,0,345.433,475.668,0,0,8738.42,457.97,0,0,5970.13
Prevotella_maculosa ,1070.28,0,3140.73,1077.12,3207.14,1655.54,2736.34,918.265,0,245.791,46.5653,5697.3,0,321.059,3334.77,830.182,274.09,0,4023.93,1310.07,437.014,10227.4,24.3024,4042.72,801.82,3296.45,635.412,116.701,4294.47,4293.22,6354.18,0,2302,868.141,0,363.126,1116.75,2732.2,0,553.621,141.212,986.362,0,1345.73,1294.97,3388.24,1923.09
Prevotella_marshii ,741.963,0,3622.45,0,162.094,1836.61,0,0,0,0,130.689,0,0,0,941.665,0,0,0,0,0,0,0,0,0,0,1383.16,0,0,585.19,0,0,0,185.829,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prevotella_melaninogenica ,64098.1,935.401,198013,36909.1,247621,119236,230755,482774,171983,672204,200781,639592,91062.6,62859.7,196683,590242,509102,696850,132488,29894.4,237992,308522,206642,446764,100237,281959,269758,514358,112879,200404,295451,828829,503172,106114,76449.2,346988,410200,115024,203809,266564,207667,68357.1,340470,32701.4,674398,206628,589785
Prevotella_micans ,2106.06,0,12524,1212.56,2227.34,3198.94,11679.9,63.4542,0,0,21.2706,308.575,0,125.313,0,0,0,0,4621.56,0,0,1017.38,191.834,15715.9,344.649,4697.99,0,0,4840.19,5705.33,10568.4,21.6649,1585.73,0,0,0,0,0,0,0,365.02,0,0,386.008,0,0,0
Prevotella_multiformis ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554.694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prevotella_nanceiensis ,16416.9,0,16591.2,3261.11,17949.8,6980.02,4037.32,2793.02,30618.9,71071.2,13950.4,9414.02,20707.2,10854.4,8069.97,22212.1,10863.7,114344,9190.2,3332.05,18726.8,5162.94,3032.88,29001.9,11169.5,18298.8,25087.3,16969.5,20464.6,3250.4,14225.4,5363.22,59198,5145.36,21787.7,35121.9,362937,61528.3,18849.1,125080,10751.4,0,177312,19565.9,49197.1,22807.6,147729
